compound,lhs,no
CTL,eggs,0
CTL,eggs,14
CTL,eggs,8
CTL,eggs,26
CTL,eggs,10
CTL,eggs,10
CTL,eggs,15
CTL,eggs,0
CTL,eggs,8
CTL,eggs,7
CTL,eggs,0
CTL,eggs,0
CTL,eggs,10
CTL,eggs,0
TMX,eggs,21
TMX,eggs,12
TMX,eggs,7
TMX,eggs,17
TMX,eggs,10
TMX,eggs,10
TMX,eggs,30
TMX,eggs,7
TMX,eggs,16
TMX,eggs,0
SLF,eggs,14
SLF,eggs,5
SLF,eggs,12
SLF,eggs,10
SLF,eggs,30
SLF,eggs,6
SLF,eggs,5
SLF,eggs,0
FLU,eggs,23
FLU,eggs,6
FLU,eggs,4
FLU,eggs,24
FLU,eggs,14
FLU,eggs,6
FLU,eggs,0
FLU,eggs,24
FLU,eggs,4
FLU,eggs,26
CTL,first_inst,16
CTL,first_inst,3
CTL,first_inst,20
CTL,first_inst,4
CTL,first_inst,0
CTL,first_inst,3
CTL,first_inst,3
CTL,first_inst,0
CTL,first_inst,0
CTL,first_inst,0
CTL,first_inst,12
CTL,first_inst,0
CTL,first_inst,9
CTL,first_inst,16
TMX,first_inst,13
TMX,first_inst,7
TMX,first_inst,5
TMX,first_inst,0
TMX,first_inst,0
TMX,first_inst,0
TMX,first_inst,0
TMX,first_inst,8
TMX,first_inst,0
TMX,first_inst,2
SLF,first_inst,4
SLF,first_inst,10
SLF,first_inst,3
SLF,first_inst,8
SLF,first_inst,8
SLF,first_inst,0
SLF,first_inst,0
SLF,first_inst,10
FLU,first_inst,0
FLU,first_inst,12
FLU,first_inst,3
FLU,first_inst,4
FLU,first_inst,0
FLU,first_inst,0
FLU,first_inst,20
FLU,first_inst,0
FLU,first_inst,7
FLU,first_inst,5
CTL,third_inst,13
CTL,third_inst,3
CTL,third_inst,0
CTL,third_inst,0
CTL,third_inst,0
CTL,third_inst,12
CTL,third_inst,6
CTL,third_inst,3
CTL,third_inst,1
CTL,third_inst,7
CTL,third_inst,16
CTL,third_inst,3
CTL,third_inst,2
CTL,third_inst,9
TMX,third_inst,6
TMX,third_inst,0
TMX,third_inst,12
TMX,third_inst,6
TMX,third_inst,0
TMX,third_inst,8
TMX,third_inst,5
TMX,third_inst,0
TMX,third_inst,1
TMX,third_inst,14
SLF,third_inst,2
SLF,third_inst,10
SLF,third_inst,0
SLF,third_inst,8
SLF,third_inst,0
SLF,third_inst,0
SLF,third_inst,11
SLF,third_inst,3
FLU,third_inst,0
FLU,third_inst,2
FLU,third_inst,0
FLU,third_inst,0
FLU,third_inst,0
FLU,third_inst,0
FLU,third_inst,0
FLU,third_inst,1
FLU,third_inst,0
FLU,third_inst,3
CTL,fourth_inst,10
CTL,fourth_inst,13
CTL,fourth_inst,13
CTL,fourth_inst,8
CTL,fourth_inst,6
CTL,fourth_inst,16
CTL,fourth_inst,6
CTL,fourth_inst,7
CTL,fourth_inst,9
CTL,fourth_inst,7
CTL,fourth_inst,11
CTL,fourth_inst,6
CTL,fourth_inst,8
CTL,fourth_inst,4
TMX,fourth_inst,8
TMX,fourth_inst,6
TMX,fourth_inst,0
TMX,fourth_inst,5
TMX,fourth_inst,3
TMX,fourth_inst,4
TMX,fourth_inst,13
TMX,fourth_inst,8
TMX,fourth_inst,9
TMX,fourth_inst,3
SLF,fourth_inst,6
SLF,fourth_inst,6
SLF,fourth_inst,0
SLF,fourth_inst,4
SLF,fourth_inst,0
SLF,fourth_inst,5
SLF,fourth_inst,4
SLF,fourth_inst,17
FLU,fourth_inst,1
FLU,fourth_inst,4
FLU,fourth_inst,0
FLU,fourth_inst,5
