Repeat_number,Bee_ID,Colony,Weight,Compound,Dose_ng_per_bee,Dose_consumption,0hrs,3hrs,24hrs,48hrs,final,Feeding_weight_start,Feeding_weight_end,Consumption_g_48hrs,Consumption_g_24hrs,Thorax_width_mm,EVAP_48hr,Adjusted_48hr,Final_adjustment
1,X1,G1,NA,TMX,0,N,1,0,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X2,G1,0.214,TMX,0,Y,1,1,1,1,1,3.39,2.1524,1.2376,0.6188,NA,0.0706,1.167,1.167
1,X3,G1,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X4,G1,0.1645,TMX,0,Y,1,1,1,1,1,3.4103,2.1571,1.2532,0.6266,NA,0.0706,1.1826,1.1826
1,X5,G1,0.211,TMX,0,Y,1,1,1,1,1,3.3102,2.1166,1.1936,0.5968,NA,0.0706,1.123,1.123
1,X6,G1,0.2547,TMX,0,Y,1,1,1,1,1,3.3707,2.422,0.9487,0.47435,NA,0.0706,0.8781,0.8781
1,X7,G1,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X8,G1,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X9,G1,0.1537,TMX,0,Y,1,1,1,1,1,3.1093,2.139,0.9703,0.48515,NA,0.0706,0.8997,0.8997
1,X10,G1,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X11,G2,0.2336,TMX,0,Y,1,1,1,1,1,3.3325,3.0752,0.2573,0.12865,NA,0.0706,0.1867,0.1867
1,X12,G2,0.1936,TMX,0,Y,1,1,1,1,1,3.2555,3.0479,0.2076,0.1038,NA,0.0706,0.137,0.137
1,X13,G2,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X14,G2,0.2298,TMX,0,Y,1,1,1,1,1,3.2379,2.259,0.9789,0.48945,NA,0.0706,0.9083,0.9083
1,X15,G2,0.1252,TMX,0,Y,1,1,1,1,1,3.1868,2.1245,1.0623,0.53115,NA,0.0706,0.9917,0.9917
1,X16,G2,NA,TMX,0,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,X17,G2,0.1482,TMX,0,Y,1,1,1,1,1,3.2373,2.8966,0.3407,0.17035,NA,0.0706,0.2701,0.2701
1,X18,G2,0.1478,TMX,0,Y,1,1,1,1,1,3.3713,2.9207,0.4506,0.2253,NA,0.0706,0.38,0.38
1,X19,G2,0.1703,TMX,0,Y,1,1,1,1,1,3.2958,3.0533,0.2425,0.12125,NA,0.0706,0.1719,0.1719
1,X20,G2,0.2361,TMX,0,Y,1,1,1,1,1,3.2435,2.1523,1.0912,0.5456,NA,0.0706,1.0206,1.0206
1,A1,G1,0.2178,TMX,10,Y,1,1,0,0,0,3.1789,3.0455,0.2668,0.1334,NA,0.0706,0.1962,0.1962
1,A2,G1,0.1759,TMX,10,Y,1,1,0,0,0,3.3377,3.2747,0.126,0.063,NA,0.0706,0.0554,0.0554
1,A3,G1,0.1549,TMX,10,Y,1,1,0,0,0,3.393,3.2653,0.2554,0.1277,NA,0.0706,0.1848,0.1848
1,A4,G1,NA,TMX,10,N,1,0,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,A5,G1,NA,TMX,10,N,1,1,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,0.0706,#VALUE!,#VALUE!
1,A6,G1,0.1861,TMX,10,Y,1,1,0,0,0,3.3509,3.1986,0.3046,0.1523,NA,0.0706,0.234,0.234
1,A7,G1,0.2059,TMX,10,Y,1,1,0,0,0,3.3813,3.2879,0.1868,0.0934,NA,0.0706,0.1162,0.1162
1,A8,G1,0.1514,TMX,10,Y,1,1,0,0,0,3.4134,3.3696,0.0876,0.0438,NA,0.0706,0.017,0.017
