compound,lhs,no
CTL,s1_pupae,0
CTL,s1_pupae,3
CTL,s1_pupae,0
CTL,s1_pupae,5
CTL,s1_pupae,0
CTL,s1_pupae,0
CTL,s1_pupae,3
CTL,s1_pupae,2
CTL,s1_pupae,0
CTL,s1_pupae,0
CTL,s1_pupae,0
CTL,s1_pupae,0
CTL,s1_pupae,0
CTL,s1_pupae,1
TMX,s1_pupae,4
TMX,s1_pupae,0
TMX,s1_pupae,5
TMX,s1_pupae,0
TMX,s1_pupae,7
TMX,s1_pupae,3
TMX,s1_pupae,1
TMX,s1_pupae,1
TMX,s1_pupae,0
TMX,s1_pupae,0
SLF,s1_pupae,4
SLF,s1_pupae,0
SLF,s1_pupae,2
SLF,s1_pupae,7
SLF,s1_pupae,6
SLF,s1_pupae,0
SLF,s1_pupae,0
SLF,s1_pupae,0
FLU,s1_pupae,5
FLU,s1_pupae,0
FLU,s1_pupae,0
FLU,s1_pupae,2
FLU,s1_pupae,5
FLU,s1_pupae,0
FLU,s1_pupae,3
FLU,s1_pupae,2
FLU,s1_pupae,0
FLU,s1_pupae,1
CTL,s2_pupae,0
CTL,s2_pupae,0
CTL,s2_pupae,1
CTL,s2_pupae,0
CTL,s2_pupae,0
CTL,s2_pupae,0
CTL,s2_pupae,1
CTL,s2_pupae,0
CTL,s2_pupae,0
CTL,s2_pupae,1
CTL,s2_pupae,1
CTL,s2_pupae,0
CTL,s2_pupae,2
CTL,s2_pupae,2
TMX,s2_pupae,1
TMX,s2_pupae,2
TMX,s2_pupae,0
TMX,s2_pupae,2
TMX,s2_pupae,2
TMX,s2_pupae,1
TMX,s2_pupae,0
TMX,s2_pupae,0
TMX,s2_pupae,0
TMX,s2_pupae,0
SLF,s2_pupae,5
SLF,s2_pupae,4
SLF,s2_pupae,0
SLF,s2_pupae,2
SLF,s2_pupae,3
SLF,s2_pupae,0
SLF,s2_pupae,0
SLF,s2_pupae,0
FLU,s2_pupae,0
FLU,s2_pupae,0
FLU,s2_pupae,0
FLU,s2_pupae,3
FLU,s2_pupae,0
FLU,s2_pupae,0
FLU,s2_pupae,0
FLU,s2_pupae,1
FLU,s2_pupae,3
FLU,s2_pupae,0
CTL,s3_pupae,2
CTL,s3_pupae,0
CTL,s3_pupae,6
CTL,s3_pupae,3
CTL,s3_pupae,0
CTL,s3_pupae,1
CTL,s3_pupae,0
CTL,s3_pupae,0
CTL,s3_pupae,0
CTL,s3_pupae,0
CTL,s3_pupae,3
CTL,s3_pupae,0
CTL,s3_pupae,0
CTL,s3_pupae,4
TMX,s3_pupae,1
TMX,s3_pupae,0
TMX,s3_pupae,1
TMX,s3_pupae,0
TMX,s3_pupae,3
TMX,s3_pupae,0
TMX,s3_pupae,0
TMX,s3_pupae,0
TMX,s3_pupae,0
TMX,s3_pupae,0
SLF,s3_pupae,0
SLF,s3_pupae,1
SLF,s3_pupae,0
SLF,s3_pupae,1
SLF,s3_pupae,0
SLF,s3_pupae,0
SLF,s3_pupae,0
SLF,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,0
FLU,s3_pupae,1
FLU,s3_pupae,0
CTL,s4_pupae,5
CTL,s4_pupae,4
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,5
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,1
CTL,s4_pupae,0
CTL,s4_pupae,0
CTL,s4_pupae,2
TMX,s4_pupae,1
TMX,s4_pupae,0
TMX,s4_pupae,2
TMX,s4_pupae,0
TMX,s4_pupae,0
TMX,s4_pupae,0
TMX,s4_pupae,0
TMX,s4_pupae,0
TMX,s4_pupae,0
TMX,s4_pupae,0
SLF,s4_pupae,0
SLF,s4_pupae,1
SLF,s4_pupae,0
SLF,s4_pupae,2
SLF,s4_pupae,1
SLF,s4_pupae,0
SLF,s4_pupae,0
SLF,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,0
FLU,s4_pupae,1
FLU,s4_pupae,0
FLU,s4_pupae,0
