compound,lhs,mean,sd,se
CTL,eggs,7.714285714,7.549106635,2.017583615
CTL,first_inst,6.142857143,7.080386157,1.892312798
CTL,firtd_inst,5.357142857,5.300321367,1.416570471
CTL,fourth_inst,8.8571429,3.3708511,0.9008979
CTL,s1_pupae,1,1.61721508,0.432218911
CTL,s2_pupae,0.571428571,0.755928946,0.202030509
CTL,s3_pupae,1.357142857,1.94569121,0.520007849
CTL,s4_pupae,1.214285714,1.968153036,0.526011025
FLU,eggs,13.1,10.22469777,3.233333333
FLU,first_inst,5.1,6.522610248,2.062630467
FLU,firtd_inst,0.6,1.0749677,0.339934634
FLU,fourth_inst,3.5,3.064129385,0.96896279
FLU,s1_pupae,1.8,1.988857852,0.628932075
FLU,s2_pupae,0.7,1.251665557,0.395811403
FLU,s3_pupae,0.1,0.316227766,0.1
FLU,s4_pupae,0.1,0.316227766,0.1
SLF,eggs,10.25,9.145646896,3.233474469
SLF,first_inst,5.375,4.172614802,1.475242111
SLF,firtd_inst,4.25,4.682795258,1.655618141
SLF,fourth_inst,5.25,5.311712126,1.877973832
SLF,s1_pupae,2.375,2.924648941,1.034019549
SLF,s2_pupae,1.75,2.052872552,0.725800051
SLF,s3_pupae,0.25,0.46291005,0.163663418
SLF,s4_pupae,0.5,0.755928946,0.267261242
TMX,eggs,13,8.41955396,2.66249674
TMX,first_inst,3.5,4.576510073,1.447219556
TMX,firtd_inst,5.2,5.072803301,1.604161255
TMX,fourth_inst,5.9,3.725288952,1.178039803
TMX,s1_pupae,2.1,2.514402955,0.795124029
TMX,s2_pupae,0.8,0.918936583,0.290593263
TMX,s3_pupae,0.5,0.971825316,0.307318149
TMX,s4_pupae,0.3,0.674948558,0.213437475
,,,,
