day_of_experiment,colony,dose,eggs,early_larvae,fourth_larvae,pupae,drones
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,Y,N,N,N,N
8,CTL,0,Y,Y,N,N,N
11,CTL,0,Y,Y,N,N,N
15,CTL,0,Y,Y,Y,N,N
18,CTL,0,Y,Y,Y,Y,N
22,CTL,0,Y,Y,Y,Y,N
25,CTL,0,Y,Y,Y,Y,N
29,CTL,0,Y,Y,Y,Y,Y
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,Y,N,N,N,N
8,CTL,0,Y,Y,N,N,N
11,CTL,0,Y,Y,N,N,N
15,CTL,0,Y,Y,Y,N,N
18,CTL,0,Y,Y,Y,Y,N
22,CTL,0,Y,Y,Y,Y,N
25,CTL,0,Y,Y,Y,Y,N
29,CTL,0,Y,Y,Y,Y,N
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,N,N,N,N,N
8,CTL,0,N,N,N,N,N
11,CTL,0,Y,N,N,N,N
15,CTL,0,Y,Y,N,N,N
18,CTL,0,Y,Y,Y,N,N
22,CTL,0,Y,Y,Y,Y,N
25,CTL,0,Y,Y,Y,Y,N
29,CTL,0,Y,Y,Y,Y,N
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,N,N,N,N,N
8,CTL,0,N,N,N,N,N
11,CTL,0,Y,N,N,N,N
15,CTL,0,Y,Y,N,N,N
18,CTL,0,Y,Y,Y,N,N
22,CTL,0,Y,Y,Y,Y,N
25,CTL,0,Y,Y,Y,Y,N
29,CTL,0,Y,Y,Y,Y,N
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,N,N,N,N,N
8,CTL,0,Y,N,N,N,N
11,CTL,0,Y,Y,N,N,N
15,CTL,0,Y,Y,N,N,N
18,CTL,0,Y,Y,N,N,N
22,CTL,0,Y,Y,Y,N,N
25,CTL,0,Y,Y,Y,N,N
29,CTL,0,Y,Y,Y,N,N
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,Y,N,N,N,N
8,CTL,0,Y,Y,N,N,N
11,CTL,0,Y,Y,N,N,N
15,CTL,0,Y,Y,Y,N,N
18,CTL,0,Y,Y,Y,Y,N
22,CTL,0,Y,Y,Y,Y,N
25,CTL,0,Y,Y,Y,Y,N
29,CTL,0,Y,Y,Y,Y,N
0,CTL,0,N,N,N,N,N
1,CTL,0,N,N,N,N,N
4,CTL,0,N,N,N,N,N
8,CTL,0,Y,N,N,N,N
11,CTL,0,Y,Y,N,N,N
